PRIMARY_KEY,FK_SYS_ASSET_NUM_MAIN,SYS_MODEL_NUM,SYS_TYPE,SYS_USR,SYS_PRE_OS,SYS_RUNING_OS,SYS_CPU,SYS_HDD,SYS_RAM,SOFT_OFFICE,SOFT_VS,SOFT_W_CAL,SOFT_RDP,SOFT_SQL,SOFT_SQL_CAL,SYS_DEPT,SYS_WARRANTY_AMC,SYS_EXPIRY,SYS_LAST_UPDATED,SYS_STATUS_INFO,SYS_PURCHASE_VALUE,SYS_PURCHASE_YEAR,SYS_VALUE_PERIOD,SYS_MIN_VALUE,SYS_CURRENT_VALUE,SYS_IP,SYS_HOST,SYS_DEPLOY,SYS_USAGE,REQUEST_USER,IS_APPROVED,APPROVED_BY,USR_UPDATE_TIME,ADMIN_UPDATE_TIME,USR_EDIT_COLUMN
1,IKM/HRD/2013/D-A23,DELLPTILEX60,D,ITENDERHEET,Winista,WinP,C2Q2.83,320,3,2010,, ,1,,,AARACCOUNTS),,,18-Jun-22,,63666,2009,5,5000,5000,,,,,,1,,,,
2,IKM/HRD/2013/D-B03,DELL5OSTRO30A,D,VSEST,NO,Win7ro,,,,2010,2013, ,,,,AARACCOUNTS),,,09-Sep-22,STOCK,45000,2011,5,8000,8000,,,,,,1,,,,
3,IKM/HRD/2013/D-B77,HPRO090T,D,NARESH ,Win7ro,Win7ro,c2d2.93,320,2,2010,,,,,,AARACCOUNTS),,,18-Jun-22,,29500,2011,5,5000,5000,,,,,,1,,,,
4,IKM/HRD/2017/S-A62,THINKSERVERS140,S,BACKUPSRV,,Winerver003,INTELEONR)PU3-1226,1TB,8GB,,,,,,,AARACCOUNTS),,,09-Sep-22,,,,,,0,,,,,,1,,,,
5,IKM/HRD/2019/D-A17,DELLPTIPLEX050,D,MANOJHARMA,Win10,Win10,I7-7770,1TB,8,2010,,,,,,AARACCOUNTS),,,20-Sep-22,,,,,,0,,,,,,1,,,,
6,IKM/HRD/2022/D-A94,HPRODESK004CIT,D,RAJESHI ,WIN10,WIN10,I5-8500,1TB,8B,2010,,1,,,,AARACCOUNTS),,,20-Sep-22,,,,,,0,,,,,,1,,,,
7,IKM/HRD/2022/S-D12,LENOVOR650,S,SHILPI_NEW,,Winerver012,INTELEONR)ILVER110 ,1.2B,48GB,,,,,,,AARACCOUNTS),,,09-Sep-22,,,,,,0,,,,,,1,,,,
8,IKM/HRD/2019/D-A46,ASSAMBLE,D,MAHESHALONEY ,NO,WIN10,I7-3930K,,,2010,,,,,,AARIT),,,21-Jun-22,,,,,,0,,,,,,1,,,,
9,IKM/HRD/2019/D-A50,HP2802FF,D,PRIYANKA,WIN10,WIN10,I5-6500,,4,2010,,,,,,AARIT),,,21-Jun-22,,,,,,0,,,,,,1,,,,
10,IKM/HRD/2019/D-A52,ASSAMBLE,D,AVDHESHYAGI,NO,Win7ro,I7-4790K,120SDB,16,2010,,,,,,AARIT),,,20-Sep-22,,,,,,0,,,,,,1,,,,
11,IKM/HRD/2019/D-A54,ASSAMBLE,D,RAGHAVESTARKET,NO ,LINUX,I7-3930K,120SD ,16,,,,,,,AARIT),,,20-Jun-22,,,,,,0,,,,,,1,,,,
12,IKM/HRD/2022/D-A88,ASSEMBLE,D,192.168.1.164,NO,LINUX,,,,,,,,,,AARIT),,,09-Sep-22,,,,,,0,,,,,,1,,,,
13,IKM/HRD/2022/D-A90,ASSAMBLE,D,192.168.1.64,NO,Win7ro,i7,,,2010,,,,,,AARIT),,,20-Sep-22,,,,,,0,,,,,,1,,,,
